gene_symbol	Control1	Control2	Control3	Control4	Diseased1	Diseased2	Diseased3	Diseased4
YBX2	12	11	8	11	17	31	10	29
MAP3K14	57	62	96	4	397	185	237	281
ABCC8	14	35	14	17	28	10	6	5
CACNG3	0	9	1	8	9	0	7	0
TMEM132A	24	21	29	14	13	30	49	45
AP2B1	195	130	462	19	1352	706	624	1887
TAC1	2	0	7	0	33	0	1	0
ZNF263	95	94	125	41	235	242	272	480
CX3CL1	27	33	64	14	215	96	118	321
SPATA20	60	54	43	5	386	163	245	324
CACNA1G	22	34	14	18	72	26	71	40
TNFRSF12A	1	2	0	0	37	21	90	7
DLX6	6	21	6	12	15	4	8	25
MAP3K9	28	25	18	24	11	17	39	32
RALA	36	26	94	3	368	230	175	384
BAIAP2L1	13	20	36	5	62	65	56	221
KDM7A	181	207	351	33	966	832	516	1337
ETV1	42	60	35	37	140	47	71	109
AGK	47	69	68	12	113	89	101	268
ALDH3B1	36	43	81	9	85	104	95	90
TTC22	24	25	8	16	3	33	7	14
PHTF2	51	45	59	5	584	208	321	353
FARP2	103	92	159	19	524	214	255	574
USH1C	9	6	1	3	4	5	1	8
GGCT	9	7	22	1	43	16	75	105
DBF4	6	5	8	5	44	42	11	61
TBXA2R	13	15	10	9	20	11	35	13
IFRD1	48	44	86	7	315	255	230	574
COX10	12	17	30	2	28	64	22	77
GTF2IRD1	19	29	21	3	134	86	68	187
PAF1	102	55	147	6	367	311	229	472
VPS41	122	116	204	22	837	779	440	937
ARHGAP44	86	61	65	11	117	74	120	276
ELAC2	100	85	156	6	304	226	169	407
SCIN	13	32	16	21	50	31	9	28
ARSD	30	54	63	11	159	146	88	257
PNPLA4	4	11	15	7	97	25	10	51
MYH13	14	8	7	3	0	1	1	0
ADIPOR2	73	81	161	25	333	339	200	594
CDKL3	2	2	0	2	7	21	12	18
UPP2	3	6	10	5	0	7	5	2
MARK4	44	52	62	15	261	151	116	267
PROM1	3	5	6	1	6	68	1	79
CCDC124	51	21	65	2	251	264	177	258
CEACAM21	1	1	1	4	7	0	1	0
PAFAH1B1	177	184	369	14	1440	917	660	1984
NOS2	8	4	3	3	1	17	4	0
DNAH9	28	32	23	21	31	11	18	6
KIAA0100	238	185	532	26	1418	837	893	1662
SLC13A2	4	2	4	2	16	20	5	31
GAS7	218	205	388	27	1533	716	517	794
TRAPPC6A	5	4	6	0	12	23	1	40
MATK	1	2	2	0	23	0	1	6
CEACAM7	2	5	4	5	9	7	1	9
CD79B	20	16	13	4	16	20	16	32
SCN4A	18	15	18	16	26	21	16	55
ST7L	43	51	68	31	143	120	92	285
TKTL1	10	14	3	5	0	3	2	0
PAX6	62	111	55	76	36	35	75	16
RPUSD1	19	7	26	4	54	23	39	71
RHBDF1	79	85	131	4	378	216	263	239
LUC7L	100	110	241	11	621	440	499	1091
CACNA2D2	13	7	2	2	25	19	43	67
BAIAP3	9	16	14	4	11	6	1	34
TSR3	61	35	130	0	366	260	173	347
PIGQ	60	49	63	12	177	119	122	198
CRAMP1	107	124	163	25	366	243	399	557
TEAD3	6	22	36	8	134	120	82	172
SELE	7	6	8	11	23	34	20	30
DNAJC11	64	73	113	3	380	260	231	392
FMO3	7	9	3	11	32	22	34	132
MYLIP	78	55	118	5	359	262	270	786
E2F2	13	19	6	12	11	9	22	3
PSMB1	68	52	117	5	505	464	178	572
SYN1	7	3	1	1	7	0	0	3
JARID2	50	58	90	5	336	167	177	384
CDKL5	94	90	130	44	307	216	174	493
CAMK1G	8	1	6	1	9	1	12	27
CDK11A	49	89	90	2	289	243	258	522
NADK	110	115	168	33	480	325	305	666
TFAP2B	32	30	29	23	9	52	7	11
DLEC1	6	13	13	8	21	35	18	55
CYTH3	247	141	212	17	951	503	904	905
ADAM22	34	85	78	38	152	194	46	125
SYPL1	56	27	116	3	491	328	192	557
CYB561	47	29	133	13	208	126	207	346
SPAG9	450	421	725	19	2909	1439	1805	3309
CELSR3	26	31	33	15	14	25	17	22
AASS	45	56	98	3	280	331	172	656
PLEKHG6	5	4	12	2	5	40	0	22
SS18L2	4	4	3	0	48	43	2	39
MPND	18	11	20	0	86	72	55	97
MGST1	38	28	112	17	147	736	35	623
CRY1	53	33	54	7	465	154	153	255
NFIX	1098	641	1150	17	5571	2729	4488	4882
ST3GAL1	121	98	199	29	420	312	221	958
MMP25	5	7	1	3	1	11	3	6
IL32	51	14	40	2	278	84	196	233
PKD1	1273	1053	1195	33	3829	2916	4216	4425
MAPK8IP2	10	7	4	6	27	14	4	12
MED24	71	68	140	7	354	129	273	389
RHOBTB2	52	69	96	17	278	161	266	233
HEATR5B	87	86	203	4	526	397	382	1034
SEC62	291	224	540	24	2911	2081	1058	4123
RPS20	390	273	721	5	2835	4094	1408	5514
CSDE1	755	538	1281	14	5622	5554	2708	10041
UBE3C	134	109	263	14	948	409	523	1041
REV3L	217	264	658	41	3442	1721	750	2949
TENM1	80	85	107	35	393	253	142	264
PAX7	11	20	17	14	0	4	12	0
MASP2	4	5	3	2	0	0	6	0
IYD	25	51	21	42	1	1	18	0
FAM76A	23	44	54	3	303	122	107	285
TRAF3IP3	19	41	32	26	43	26	49	58
POMT2	49	46	64	18	109	93	125	249
VTA1	37	64	62	35	231	216	119	338
MLXIPL	13	12	43	4	18	133	16	188
BAZ1B	389	281	560	18	1938	1353	1166	2716
RANBP9	66	52	118	0	652	353	256	800
ETV7	6	1	3	3	12	3	10	4
SPRTN	25	33	44	16	159	64	67	124
METTL13	27	9	39	5	83	50	88	141
DYRK4	22	30	16	28	45	38	43	61
ZNF207	191	261	512	51	1455	1425	818	2656
UQCRC1	58	46	102	2	350	319	255	362
STARD3NL	31	27	47	8	175	96	85	123
CD9	760	298	1133	6	4521	2520	2482	4966
HHATL	3	5	4	5	2	0	0	0
NCAPD2	68	42	101	5	240	240	207	428
IFFO1	101	106	194	9	365	286	331	402
GIPR	15	15	8	14	6	3	42	28
PHF7	17	22	27	10	75	76	46	64
SEMA3G	81	85	169	20	438	320	228	577
NISCH	262	247	416	22	1079	710	856	1503
STAB1	197	309	674	7	1479	1561	1202	989
FUZ	19	7	19	1	17	38	28	45
SLC6A13	6	7	3	5	0	1	13	0
IDS	242	182	404	15	1467	881	1097	2714
ZNF200	42	53	58	30	126	62	54	99
CD4	36	56	86	13	257	142	123	326
LRRC23	19	16	12	4	42	31	39	65
BTK	11	20	15	6	46	33	13	65
HFE	23	39	43	18	88	69	76	165
SCMH1	45	40	80	4	248	150	178	438
FYN	185	144	420	13	981	696	487	1242
HIVEP2	967	340	766	59	5607	1671	3628	3838
FMO1	4	7	13	5	270	69	179	36
ELOA	104	68	168	29	549	397	291	766
LYPLA2	16	18	34	7	108	78	55	114
CLCN6	95	64	146	7	361	201	259	504
MRC2	744	400	740	6	4999	1451	2699	1562
NME1-NME2	5	0	0	0	19	17	8	0
SLC6A7	8	18	7	10	73	0	14	2
TSPAN9	60	70	125	10	560	249	312	710
BTBD7	97	92	195	21	527	346	390	932
APBA3	33	20	31	19	106	70	104	112
MKS1	15	13	20	2	70	35	53	112
ABHD5	25	33	53	19	143	181	22	169
ANOS1	19	32	26	14	201	35	94	76
AKAP8L	86	100	139	10	507	266	318	565
MBTD1	49	41	84	13	404	256	108	479
UTP18	42	24	77	2	235	150	133	248
RNF216	142	137	220	15	997	570	541	1213
TTC19	81	59	129	9	377	246	176	638
PTBP1	144	192	323	19	993	574	652	1203
DPF1	5	1	1	5	9	0	4	4
SYT7	26	28	40	5	35	65	25	130
LARS2	34	38	49	18	78	104	111	158
PIK3C2A	142	121	329	18	1181	883	471	2090
PLAUR	28	18	40	11	185	104	73	70
ANLN	6	6	9	6	158	11	0	16
WIZ	77	73	106	17	391	262	307	342
RABGAP1	90	137	218	4	757	578	397	1130
DCN	7051	2387	7984	79	24140	20588	13363	43202
QPCTL	4	3	4	5	4	16	7	9
PPP5C	65	58	124	5	394	187	211	504
CEP68	160	159	328	41	823	684	566	1738
MAP4K3	47	51	78	2	538	368	163	630
ZBTB32	10	13	3	12	7	3	5	6
TYROBP	9	9	21	0	123	130	64	90
TMEM159	36	29	80	2	223	103	100	398
GABRA3	6	5	0	6	0	0	6	0
BRCA1	47	89	70	62	163	180	47	135
ERCC1	78	53	123	6	352	256	269	456
CD22	19	30	5	12	9	13	8	8
SEMA3B	186	124	125	4	981	458	485	477
MBTPS2	32	23	40	12	200	101	101	169
PRICKLE3	23	24	36	6	70	33	70	95
LTF	9	13	7	3	7	133	19	139
EXTL3	55	87	117	31	321	206	245	323
NR1H4	5	5	1	4	2	0	14	0
ELOVL5	61	52	147	18	767	727	296	907
ALOX5	8	16	26	1	81	58	48	60
KDM5D	0	0	356	0	996	660	0	1572
CALCOCO1	299	305	452	22	1403	1039	930	2160
UBR7	40	28	83	15	367	154	189	438
MAP4K5	122	124	167	15	905	442	576	962
EHD3	34	23	32	12	142	55	78	79
PSMC4	34	19	81	4	279	138	165	243
MAN2B2	153	92	230	15	609	427	376	698
SLC7A14	45	52	19	44	9	9	20	3
CLDN11	15	21	23	9	93	78	44	60
SLC25A39	22	19	49	4	170	90	125	137
MVP	274	223	538	6	1340	855	748	1222
NUB1	76	89	129	4	552	345	274	814
PGM3	54	58	102	23	342	244	173	392
RWDD2A	15	28	16	7	70	31	32	59
CLK1	259	165	553	12	1215	1532	1214	3333
POLR3B	14	11	34	4	74	43	71	135
ANGEL1	64	42	98	17	247	173	152	301
RNF14	64	45	99	13	421	369	292	624
DNASE1L1	32	44	53	13	248	76	128	222
DDX11	80	43	114	20	262	186	225	316
HEBP1	40	37	69	4	221	213	158	441
GPRC5A	95	65	127	25	333	80	169	356
MAMLD1	19	29	27	17	123	76	95	86
CD6	10	11	7	6	8	8	4	9
TACC3	28	33	29	11	104	48	63	70
UFL1	84	57	157	8	657	766	361	967
POLA2	45	30	39	14	108	99	92	183
ZC3H3	42	29	56	11	139	128	111	230
CAPN1	149	129	241	9	925	527	714	803
ACPP	13	37	16	18	27	15	12	12
MDH1	30	38	103	12	317	485	164	415
SLC30A9	80	78	175	11	650	445	279	843
MTMR11	65	48	95	7	302	90	202	314
COX15	35	31	62	4	202	110	106	327
CCDC88C	100	114	205	29	472	193	272	579
YAF2	34	56	61	40	211	160	84	310
ZMYND11	175	145	286	9	1282	965	711	1795
WAS	1	5	4	0	11	9	10	22
BID	14	17	19	7	55	37	31	27
MATR3	399	438	775	35	2999	2317	1700	4287
NPC1L1	6	7	3	7	19	11	3	4
XYLT2	60	44	77	7	333	194	201	343
RGPD5	291	220	410	23	1119	689	527	1303
STMN4	9	12	3	8	0	2	4	1
NUDCD3	194	144	221	26	876	519	541	1123
ISL1	5	2	14	7	0	23	1	7
CHDH	21	27	13	18	61	27	19	86
IL20RA	16	21	11	4	4	14	10	23
CLCA1	6	6	5	3	0	0	0	0
GLT8D1	48	34	82	8	307	155	167	274
ATP2C1	79	81	170	14	701	519	416	922
IGF1	76	82	120	19	2154	787	497	786
SLC38A5	24	13	15	8	25	8	42	5
RALBP1	171	131	266	19	1183	642	892	1706
RUFY3	120	176	221	17	745	699	606	1345
CNTN1	10	31	18	12	211	64	100	143
SLC11A1	6	11	10	5	20	26	23	15
WWTR1	257	199	379	29	2574	1264	1525	2896
AGPS	81	87	148	24	870	556	533	855
AC097532.4	3	4	0	4	1	1	0	0
CXorf56	30	31	41	1	83	143	154	300
ATP1A2	41	48	80	17	168	324	133	567
TTC27	21	12	53	0	60	79	84	172
ZNF582	5	14	18	11	16	31	34	82
VSIG2	0	1	1	0	9	2	17	5
PHLDB1	1083	967	1425	94	5306	3706	3977	4857
MARCO	9	8	46	0	146	280	61	29
CYP24A1	5	9	3	3	17	18	9	1
PRDM11	106	148	122	66	213	201	180	337
SYT13	28	15	25	17	33	39	10	48
SNAI2	50	53	65	13	230	183	151	458
CD74	400	428	1049	3	3960	2281	2266	8565
HGF	31	49	93	18	238	160	57	613
ZRANB1	88	108	167	41	651	417	294	696
NCDN	25	12	42	9	113	92	113	180
ADGRA2	300	242	476	21	2099	1221	1057	1681
CCT8L1	12	11	5	6	7	1	6	0
ZFP64	50	82	76	53	193	118	105	188
MNAT1	38	35	59	17	188	211	170	318
SAMD4A	507	271	637	43	2761	1269	1674	3396
RUNX3	11	14	18	6	30	82	33	42
MRE11A	71	83	167	19	519	521	328	848
PLEKHB1	6	14	8	4	14	8	6	72
SERPINB1	66	38	89	7	491	273	243	578
CYP3A43	4	2	1	3	0	0	0	21
SLC7A9	3	14	5	5	0	1	3	0
SPAST	45	36	84	11	290	98	179	325
NRXN3	56	117	64	65	43	34	73	53
OSBPL5	123	111	168	6	531	358	415	632
AQR	82	87	184	29	580	650	377	1020
CPS1	31	33	24	9	31	61	13	103
C8B	2	5	1	0	1	0	2	0
FHL1	1123	396	1384	8	2946	3906	1670	5487
RTFDC1	122	72	166	5	639	518	411	789
GABRA1	7	25	13	16	2	12	6	0
NLRP2	8	11	5	11	3	10	12	2
SLC45A4	37	69	54	41	57	124	102	129
RNF10	149	102	247	1	952	449	456	1060
ZNF839	34	46	32	17	115	67	77	162
ZDHHC6	37	43	71	7	177	210	127	358
GRAMD1B	54	82	73	27	42	63	48	32
RNH1	253	141	413	13	802	626	734	871
NDUFS1	171	150	279	22	1245	786	567	1644
RB1CC1	137	142	264	16	1139	832	559	1321
ERP44	73	55	127	33	625	353	320	560
ALAS1	29	19	49	4	151	98	70	262
BIRC3	62	63	94	21	242	289	82	475
AKAP11	176	198	394	39	1460	1290	773	1934
GLRX2	23	26	47	11	104	80	49	197
SNAPC1	15	14	31	3	132	93	86	177
DERA	7	17	42	1	128	97	64	218
STRAP	43	36	104	1	550	255	191	477
ABCC2	13	8	70	6	5	58	2	24
DEF6	4	24	20	4	34	49	38	35
PLEKHO1	41	100	87	26	472	193	245	233
GCLM	20	30	48	9	72	38	26	174
UBR2	139	155	346	4	1075	853	588	1558
EHD2	312	257	688	4	2152	1335	1880	2550
DEPDC1	2	8	1	10	0	0	1	23
CCDC28A	14	15	21	2	211	119	55	249
RRAGD	44	36	29	9	187	133	79	233
HSF2	31	12	31	2	158	105	76	130
PHF20	102	68	170	17	414	244	306	746
HSD17B6	4	3	4	6	1	0	8	9
NR1H3	12	21	30	6	109	102	66	203
TYMP	27	38	111	4	321	225	233	385
NCAPH2	48	46	62	1	159	166	86	176
TOMM34	18	13	19	4	232	46	85	86
SEC63	163	147	373	18	1882	1041	785	2168
KPNA6	111	90	179	17	663	305	387	926
VIM	7059	3634	10136	33	26559	15764	17032	41215
RTEL1-TNFRSF6B	39	41	53	8	181	161	174	165
FAS	13	28	57	5	157	80	60	289
RNASET2	64	81	48	22	158	125	154	137
CD44	1063	575	2250	38	8149	3654	4487	12662
KCNG1	11	25	13	13	13	2	21	10
AGPAT4	57	81	83	29	288	144	265	265
SLAMF7	11	14	12	11	6	15	5	15
BTN3A1	60	63	108	15	304	141	267	808
MIPEP	11	14	24	1	75	50	40	88
PRKCH	62	68	177	9	484	238	235	963
INSRR	3	7	4	1	2	0	19	0
IFNGR1	52	50	153	2	514	606	304	820
B4GALT7	31	21	40	9	92	93	81	79
SH2D2A	5	1	2	0	5	7	3	7
VRK2	27	16	35	4	155	92	73	157
TNFRSF1B	29	50	92	1	325	187	224	474
VEZT	67	75	186	23	452	419	259	1079
POU2F2	8	17	9	3	33	19	30	60
BRD9	165	121	153	23	594	387	338	684
SNX1	249	246	414	37	1395	1053	820	2379
TBPL1	16	24	42	12	87	108	53	116
ARNTL2	56	42	76	25	353	134	191	284
BCLAF1	255	267	454	37	2455	1924	920	2816
SLC39A9	87	78	175	29	601	302	380	689
ANK1	20	64	48	28	85	57	47	49
IBSP	0	1	6	4	1	0	0	0
TFB1M	14	12	18	4	40	86	34	71
RABEP1	123	112	240	13	1430	881	619	1393
HMGB3	14	16	10	14	142	50	55	32
NUP160	139	92	179	31	504	379	347	885
BAK1	8	7	16	4	40	23	36	97
MUSK	11	21	10	12	5	0	8	13
IKZF2	20	49	44	17	96	78	64	121
GRN	189	120	311	0	978	531	584	743
FAM13B	88	80	136	5	479	353	413	1003
ARHGAP31	231	225	480	32	1457	879	1017	2272
CENPQ	1	2	7	0	16	39	9	51
SARS	171	124	327	13	923	684	587	1049
RANBP3	74	81	91	14	337	285	219	412
ARID4A	123	127	206	22	922	610	362	1391
TSSC1	12	16	23	10	85	70	65	37
PNPLA6	89	81	140	4	229	239	246	383
IFT88	54	50	39	27	358	130	93	329
ALG1	26	8	26	1	86	58	54	52
ZCCHC8	47	40	97	23	215	139	200	432
ABCF2	28	47	27	6	163	191	161	178
CHPF2	41	50	92	11	234	122	225	224
LRRC7	15	25	11	27	10	23	3	18
FUT8	58	82	126	24	728	280	261	469
UBA6	67	79	150	31	489	421	230	486
GAB2	158	123	199	23	822	511	503	1061
ATP6V0A1	128	107	212	18	607	290	463	814
PIAS1	69	87	143	20	601	558	262	824
SLC4A7	66	43	108	9	1007	395	472	476
APBA2	33	38	17	21	22	5	36	25
MAP2K3	58	35	61	5	229	149	165	189
EFCAB1	33	64	30	27	19	16	18	16
TMSB10	190	178	491	2	2886	1380	852	2101
ASTE1	20	11	34	0	49	38	28	77
RNF19A	146	118	261	26	1603	990	598	1340
PEX3	8	18	24	0	92	115	59	164
GABARAPL2	113	48	137	7	548	297	534	749
MYOC	1798	816	1380	8	2066	2528	1417	6860
SH3YL1	51	63	81	24	185	208	146	331
FAM136A	24	19	44	4	176	91	75	136
VCL	312	259	898	11	3208	1447	2380	3240
DEPDC1B	1	2	4	1	2	3	2	19
DAPK2	55	67	74	46	119	104	62	174
NSMAF	53	49	90	13	470	224	236	528
ADSS	45	46	93	1	311	262	233	445
STAP1	0	0	1	1	0	10	0	13
TIMP2	2237	1122	2411	27	8457	4128	7514	10497
RFC1	74	101	171	17	723	402	299	853
TBC1D23	56	63	155	9	396	447	317	629
CUL3	96	80	156	23	597	443	368	1055
MYOM2	10	5	10	5	19	8	3	1
CYP46A1	25	57	29	40	88	24	9	44
ZZZ3	70	115	206	54	493	657	273	1008
SLC18A1	6	13	8	9	2	0	3	4
USP2	5	10	8	2	24	5	9	5
CASR	48	74	38	55	6	6	53	15
TUBG2	33	34	37	6	151	125	112	198
RPL26L1	11	9	11	0	117	90	39	72
FLT4	76	162	141	17	306	254	187	266
NSUN2	64	61	87	9	322	178	178	580
FBXO42	55	76	97	23	233	181	169	398
MFAP3	40	58	82	16	279	231	187	408
MRI1	25	42	69	1	211	55	134	365
METTL1	12	7	9	0	10	13	30	35
HOXC8	2	6	3	4	12	3	15	17
AGA	15	16	25	4	100	85	46	103
PI4K2B	24	12	45	2	195	98	83	205
BOD1L1	454	573	886	91	3907	2831	1616	4576
MAT2B	63	69	115	15	381	298	277	800
TLL1	19	39	81	11	158	330	92	632
EDC4	85	92	143	6	402	314	367	440
TRIO	557	521	1206	25	3573	1787	1945	3417
VCAN	1927	906	4421	98	10918	2740	3033	5097
CLEC16A	104	110	150	33	351	212	265	554
MSR1	18	54	47	26	225	125	64	88
CDH1	11	8	8	3	42	60	9	281
SKIV2L2	92	95	191	13	642	747	370	1124
DNAH5	52	36	77	17	108	40	52	57
ZFYVE16	78	83	155	12	673	501	369	797
FAM65A	126	135	315	1	805	431	630	1108
C6	18	18	79	4	150	97	13	230
RAI14	176	125	192	35	2349	689	1845	1276
SOX30	11	18	4	12	2	9	3	4
PNKP	41	60	125	5	175	125	226	316
BEST2	12	32	7	10	7	11	24	0
PHLPP2	47	81	82	43	209	151	83	362
SPDL1	9	14	14	3	89	74	58	163
STAU2	38	44	58	8	255	245	133	528
PQLC2	16	13	9	3	45	41	22	44
CTNS	16	10	32	1	59	46	37	29
RTN4R	7	11	1	4	14	0	7	9
PHF23	32	29	47	10	120	122	126	128
CDH10	2	6	6	2	15	4	0	16
INPP4A	54	76	122	14	404	174	199	496
RAB27B	13	19	23	14	66	126	39	141
PSMA4	37	42	89	19	436	299	200	378
MYO16	24	45	20	23	6	43	25	9
LSG1	75	50	100	11	287	199	237	405
PARP3	12	6	26	1	64	65	30	146
TNC	780	511	410	20	4837	959	6211	2029
THAP3	31	22	31	10	87	53	54	154
FAM65C	27	12	27	7	90	170	89	84
TDP1	12	8	29	16	70	51	32	99
AIFM2	47	36	56	5	173	300	103	324
AC064853.3	14	15	10	11	10	1	6	0
SPATA7	16	11	35	11	105	96	55	158
MED17	102	92	120	56	265	247	159	482
RETSAT	66	27	104	5	293	481	135	555
CAPG	127	33	226	3	620	224	316	521
AP2S1	18	12	16	0	141	89	110	93
USH2A	19	30	25	32	5	1	10	0
TG	13	16	21	12	32	76	22	13
ADAM28	6	26	18	15	45	44	21	7
BARX2	8	17	5	6	13	37	9	116
DCUN1D1	40	51	68	15	290	337	198	510
JADE2	149	138	270	24	475	487	472	1103
ZIC2	4	6	0	3	1	0	3	10
LCP2	23	44	23	15	95	80	31	132
TRIT1	12	10	20	3	131	91	35	103
ADRB1	7	11	9	9	8	8	25	73
CUL7	76	59	107	6	278	261	284	450
CTNNA1	549	350	949	22	3051	1540	1778	3677
PHKA2	66	56	85	7	186	195	177	388
CNTLN	101	121	190	18	748	485	457	1174
EPHA3	30	40	78	2	306	118	137	355
HSPA5	243	190	578	7	2115	636	1228	1457
DSG2	45	49	73	10	178	269	28	635
GEMIN8	24	30	30	13	158	43	30	74
OFD1	85	77	93	14	400	266	197	626
GPM6B	18	22	7	11	148	118	46	267
MAGEC2	12	15	4	14	0	2	17	0
PREX2	237	216	530	8	2069	1512	998	3432
WDR37	42	28	75	15	183	149	134	289
YTHDC2	92	112	169	13	613	462	268	593
CTPS2	45	60	75	17	227	107	139	339
ATP6V1H	41	26	64	6	196	115	87	238
POLR2B	107	106	228	16	781	774	374	1035
KIAA1370	99	105	175	40	663	632	308	1041
ARAP2	17	30	35	14	107	193	44	262
TPR	483	431	875	26	3522	2408	1576	4556
CP	32	45	157	3	255	304	74	286
KIAA0556	54	64	135	9	281	308	195	352
DTNBP1	23	28	31	11	121	60	45	171
XK	7	9	2	20	2	5	11	7
ANO2	19	27	59	5	157	133	136	312
C12orf4	35	55	58	15	89	81	79	140
SCML1	21	20	36	17	113	156	52	129
WWC3	168	106	197	16	1032	385	765	980
ARHGAP6	62	84	95	17	234	229	215	538
FAM184B	7	20	21	12	1	7	13	0
MAP4	767	573	1315	82	5082	2848	2715	7041
GOPC	76	73	113	8	501	407	357	702
ROS1	17	27	16	16	0	0	14	2
USP28	33	32	58	9	127	86	108	223
HDAC9	47	69	103	19	265	230	188	384
